cgpa,internships,projects,certifications,hackathons,aptitude_score,communication_score,branch,degree,skills,resume_text,placed
7.52,2,4,3,1,56.0,70.5,ECE,BCA,"feature engineering, pandas, scikit-learn, streamlit","Built projects using feature engineering, pandas, scikit-learn, streamlit. Completed 4 projects, 2 internships, and worked on model evaluation.",0
6.75,0,1,1,2,56.6,74.2,EEE,B.Sc,"deep learning, excel, feature engineering, git, linux, nlp, numpy, opencv, power bi","Built projects using deep learning, excel, feature engineering, git, linux, nlp. Completed 1 projects, 0 internships, and worked on model evaluation.",0
7.32,0,2,0,3,61.4,55.4,ME,B.Tech,"deep learning, excel, linux, model deployment, opencv, pandas","Built projects using deep learning, excel, linux, model deployment, opencv, pandas. Completed 2 projects, 0 internships, and worked on model evaluation.",0
8.03,0,2,2,0,70.0,75.4,ECE,B.Tech,"machine learning, model deployment, pandas, python, tableau","Built projects using machine learning, model deployment, pandas, python, tableau. Completed 2 projects, 0 internships, and worked on model evaluation.",1
6.8,2,3,1,1,47.7,45.2,AI&DS,M.Tech,"git, model deployment, power bi, sql","Built projects using git, model deployment, power bi, sql. Completed 3 projects, 2 internships, and worked on model evaluation.",0
6.22,0,2,1,1,47.8,66.1,Civil,BCA,"git, linux, numpy, opencv, pandas","Built projects using git, linux, numpy, opencv, pandas. Completed 2 projects, 0 internships, and worked on model evaluation.",0
7.43,1,1,1,2,76.9,61.7,CSE,MCA,"linux, model deployment, xgboost","Built projects using linux, model deployment, xgboost. Completed 1 projects, 1 internships, and worked on model evaluation.",0
7.64,1,2,1,2,53.5,39.9,ME,B.Sc,"deep learning, fastapi, feature engineering, linux, pandas","Built projects using deep learning, fastapi, feature engineering, linux, pandas. Completed 2 projects, 1 internships, and worked on model evaluation.",1
5.96,0,4,3,1,61.6,46.6,AI&DS,B.Tech,"deep learning, docker, statistics","Built projects using deep learning, docker, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.57,2,2,2,1,62.6,86.9,EEE,B.Tech,"feature engineering, git, machine learning, xgboost","Built projects using feature engineering, git, machine learning, xgboost. Completed 2 projects, 2 internships, and worked on model evaluation.",1
